Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group G,1,Belgium,Egypt,1.24,1.00,1-0,42.5,27.4,30.1,Belgium WIN
Group G,2,Belgium,Iran,1.35,1.36,1-2,37.4,24.6,37.9,Iran WIN
Group G,3,Belgium,New Zealand,2.06,1.21,2-1,56.7,20.1,23.2,Belgium WIN
Group G,4,Egypt,Iran,0.88,1.03,0-1,31.1,31.1,37.8,Iran WIN
Group G,5,Egypt,New Zealand,1.35,0.91,1-0,46.7,27.4,25.9,Egypt WIN
Group G,6,Iran,New Zealand,1.84,0.99,2-0,56.9,21.9,21.1,Iran WIN
