Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group K,1,Portugal,DR Congo,1.28,0.73,1-0,46.6,35.4,18.1,Portugal WIN
Group K,2,Portugal,Uzbekistan,1.51,0.92,1-0,47.7,32.2,20.1,Portugal WIN
Group K,3,Portugal,Colombia,1.68,1.03,2-1,49.7,29.9,20.4,Portugal WIN
Group K,4,DR Congo,Uzbekistan,0.78,0.77,0-0,28.8,42.4,28.8,DRAW
Group K,5,DR Congo,Colombia,0.87,0.87,0-0,29.9,40.3,29.8,DRAW
Group K,6,Uzbekistan,Colombia,1.10,1.01,1-1,33.8,36.6,29.6,DRAW
