Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group H,1,Spain,Cape Verde,1.76,0.75,2-0,58.8,28.3,12.9,Spain WIN
Group H,2,Spain,Saudi Arabia,1.92,0.68,2-0,64.5,25.6,9.9,Spain WIN
Group H,3,Spain,Uruguay,1.49,0.76,1-0,51.8,32.2,16.0,Spain WIN
Group H,4,Cape Verde,Saudi Arabia,1.01,0.84,0-0,35.3,38.8,25.8,DRAW
Group H,5,Cape Verde,Uruguay,0.79,0.93,0-0,25.8,40.2,34.0,DRAW
Group H,6,Saudi Arabia,Uruguay,0.71,1.02,0-0,21.7,39.5,38.8,DRAW
