Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,MostLikelyScore,P_Home,P_Draw,P_Away,Prediction
Group C,1,Brazil,Morocco,0.67,1.26,0-1,20.2,29.6,50.2,Morocco WIN
Group C,2,Brazil,Haiti,1.84,1.35,1-1,48.9,21.2,30.0,Brazil WIN
Group C,3,Brazil,Scotland,2.09,0.91,2-0,63.0,20.0,16.9,Brazil WIN
Group C,4,Morocco,Haiti,1.89,0.69,2-0,65.1,21.4,13.5,Morocco WIN
Group C,5,Morocco,Scotland,2.15,0.46,2-0,75.3,17.5,7.2,Morocco WIN
Group C,6,Haiti,Scotland,2.31,1.27,2-1,59.5,18.4,22.1,Haiti WIN
