Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group I,1,France,Senegal,1.06,1.22,1-1,28.5,35.0,36.5,DRAW
Group I,2,France,Iraq,1.42,0.82,1-0,48.0,33.4,18.6,France WIN
Group I,3,France,Norway,1.54,1.48,2-1,36.4,29.7,33.9,France WIN
Group I,4,Senegal,Iraq,1.25,0.63,1-0,48.5,35.9,15.6,Senegal WIN
Group I,5,Senegal,Norway,1.36,1.13,2-1,38.7,33.2,28.1,Senegal WIN
Group I,6,Iraq,Norway,0.91,1.52,0-1,19.6,31.9,48.5,Norway WIN
