Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group H,1,Spain,Cape Verde,1.90,0.75,2-0,64.1,21.2,14.6,Spain WIN
Group H,2,Spain,Saudi Arabia,2.08,0.68,2-0,68.6,19.5,11.9,Spain WIN
Group H,3,Spain,Uruguay,1.61,0.76,1-0,57.2,24.5,18.3,Spain WIN
Group H,4,Cape Verde,Saudi Arabia,1.09,0.84,1-0,41.8,30.5,27.8,Cape Verde WIN
Group H,5,Cape Verde,Uruguay,0.85,0.93,0-1,31.5,32.4,36.1,Uruguay WIN
Group H,6,Saudi Arabia,Uruguay,0.77,1.02,0-1,27.5,32.2,40.4,Uruguay WIN
