Group,Match,HomeTeam,AwayTeam,ExpGoalsHome,ExpGoalsAway,DefinitiveScore,P_Home,P_Draw,P_Away,Prediction
Group G,1,Belgium,Egypt,1.15,1.00,1-1,35.8,36.1,28.0,DRAW
Group G,2,Belgium,Iran,1.25,1.36,1-1,31.1,32.5,36.4,DRAW
Group G,3,Belgium,New Zealand,1.90,1.21,2-1,51.1,27.4,21.4,Belgium WIN
Group G,4,Egypt,Iran,0.82,1.03,0-0,25.0,38.7,36.3,DRAW
Group G,5,Egypt,New Zealand,1.25,0.91,1-0,40.8,35.5,23.8,Egypt WIN
Group G,6,Iran,New Zealand,1.70,0.99,2-0,51.3,29.7,19.0,Iran WIN
